chr	start	end	replication_time	expression_CCLE	noncoding_mutation_rate
1	1	100000	NaN	369933	8.46E-06
1	100001	200000	594	138658	7.15E-06
1	200001	300000	NaN	29330	2.88E-06
1	300001	400000	NaN	57922	NaN
1	400001	500000	NaN	8775	0
1	500001	600000	NaN	8184247	1.64E-05
1	600001	700000	796	159359	7.22E-06
1	700001	800000	188	399915	6.37E-06
1	800001	900000	467	1268659	4.04E-06
1	900001	1000000	239	3331745	1.71E-06
1	1000001	1100000	234	510878	3.70E-06
1	1100001	1200000	194	2137396	2.39E-06
1	1200001	1300000	196	2735344	3.49E-06
1	1300001	1400000	273	3106368	1.58E-06
1	1400001	1500000	187	2135511	1.58E-06
1	1500001	1600000	248	1593050	3.08E-06
1	1600001	1700000	214	2177034	3.90E-06
1	1700001	1800000	243	2893816	1.45E-06
1	1800001	1900000	229	223099	2.14E-06
1	1900001	2000000	233	58670	3.67E-06
1	2000001	2100000	279	116530	1.83E-06
1	2100001	2200000	293	648651	2.30E-06
1	2200001	2300000	262	809517	2.06E-06
1	2300001	2400000	302	1522775	2.44E-06
1	2400001	2500000	217	627135	1.48E-06
1	2500001	2600000	228	374121	3.58E-06
1	2600001	2700000	335	1120	1.66E-05
1	2700001	2800000	NaN	1607	4.23E-06
1	2800001	2900000	625	6889	3.53E-06
1	2900001	3000000	634	12586	2.28E-06
1	3000001	3100000	632	9340	3.05E-06
1	3100001	3200000	623	16002	2.54E-06
1	3200001	3300000	587	64193	1.78E-06
1	3300001	3400000	483	329034	1.41E-06
1	3400001	3500000	350	380532	1.60E-06
1	3500001	3600000	251	658787	2.05E-06
1	3600001	3700000	288	609716	1.73E-06
1	3700001	3800000	341	811966	1.98E-06
1	3800001	3900000	412	327837	2.50E-06
1	3900001	4000000	NaN	1339	3.90E-08
1	4000001	4100000	NaN	26746	3.24E-06
1	4100001	4200000	597	2270	4.74E-06
1	4200001	4300000	643	1225	4.09E-06
1	4300001	4400000	744	16634	4.63E-06
1	4400001	4500000	820	6400	4.20E-06
1	4500001	4600000	851	1385	4.18E-06
1	4600001	4700000	881	5265	5.68E-06
1	4700001	4800000	885	11587	5.20E-06
1	4800001	4900000	921	28140	3.63E-06
1	4900001	5000000	927	118	3.65E-06
1	5000001	5100000	945	92	5.06E-06
1	5100001	5200000	949	1090	6.10E-06
